#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Trendlog(3010262)";504;"GTBQIDMCRC/MSTP1.FX56.BI-1.Tendance1";20;3010262;;;;N;;;;
"Trendlog(3010261)";504;"GTBQIDMCRC/MSTP1.FX59.BI-1.Tendance1";20;3010261;;;;N;;;;
"Trendlog(3010260)";504;"GTBQIDMCRC/MSTP1.FX57.BI-1.Tendance1";20;3010260;;;;N;;;;
"Trendlog(3010259)";504;"GTBQIDMCRC/MSTP1.FX58.BI-1.Tendance1";20;3010259;;;;N;;;;
"Trendlog(3009912)";504;"GTBQIDMCRC/Tronc N2.XTM-203.debit froid batD mesure.Tendance1";20;3009912;;;;N;;;;
"Trendlog(3009911)";504;"GTBQIDMCRC/Tronc N2.XTM-203.debit poutres mesure.Tendance1";20;3009911;;;;N;;;;
"Trendlog(3009910)";504;"GTBQIDMCRC/Tronc N2.XTM-200.puissance froid batD mesure.Tendance1";20;3009910;;;;N;;;;
"Trendlog(3009909)";504;"GTBQIDMCRC/Tronc N2.XTM-200.puissance poutres mesure.Tendance1";20;3009909;;;;N;;;;
"Trendlog(3009410)";504;"GTBQIDMCRC/Event Rate Trend Log";20;3009410;;;;N;;;;
"Trendlog(3007807)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-primaire-froid pourcentag.Tendance1";20;3007807;;;;N;;;;
"Trendlog(3007806)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-depart-collecteur-f.Tendance1";20;3007806;;;;N;;;;
"Trendlog(3007751)";504;"GTBQIDMCRC/MSTP1.FEC10.vanne-froid pourcentage-ouvertu.Tendance1";20;3007751;;;;N;;;;
"Trendlog(3007750)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-pulsion mesure.Tendance1";20;3007750;;;;N;;;;
"Trendlog(3004949)";504;"GTBQIDMCRC/MSTP1.FX59.AI-4.Tendance1";20;3004949;;;;N;;;;
"Trendlog(3004948)";504;"GTBQIDMCRC/MSTP1.FX58.AI-4.Tendance1";20;3004948;;;;N;;;;
"Trendlog(3004947)";504;"GTBQIDMCRC/MSTP1.FX57.AI-4.Tendance1";20;3004947;;;;N;;;;
"Trendlog(3004946)";504;"GTBQIDMCRC/MSTP1.FX56.AI-4.Tendance1";20;3004946;;;;N;;;;
"Trendlog(3004945)";504;"GTBQIDMCRC/MSTP1.FX55.AI-4.Tendance1";20;3004945;;;;N;;;;
"Trendlog(3004944)";504;"GTBQIDMCRC/MSTP1.FX54.AI-4.Tendance1";20;3004944;;;;N;;;;
"Trendlog(3004943)";504;"GTBQIDMCRC/MSTP1.FX52.AI-4.Tendance1";20;3004943;;;;N;;;;
"Trendlog(3004942)";504;"GTBQIDMCRC/MSTP1.FX51.AI-4.Tendance1";20;3004942;;;;N;;;;
"Trendlog(3004941)";504;"GTBQIDMCRC/MSTP1.FX50.AI-4.Tendance1";20;3004941;;;;N;;;;
"Trendlog(3004940)";504;"GTBQIDMCRC/MSTP1.FX49.AI-4.Tendance1";20;3004940;;;;N;;;;
"Trendlog(3004939)";504;"GTBQIDMCRC/MSTP1.FX47.AI-4.Tendance1";20;3004939;;;;N;;;;
